City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Vallenar,CL,2022-04-13 19:30:23,-28.5708,-70.7581,78.69,28,0,8.21
213,Umtata,ZA,2022-04-13 19:31:22,-31.5889,28.7844,63.16,100,32,2.3
214,Sonqor,IR,2022-04-13 19:31:22,34.7837,47.6004,48.6,30,10,4.83
215,Rundu,NA,2022-04-13 19:31:23,-17.9333,19.7667,72.88,51,98,6.02
216,Aragarcas,BR,2022-04-13 19:31:23,-15.8975,-52.2508,92.05,49,40,3.44
217,Alofi,NU,2022-04-13 19:31:23,-19.0595,-169.9187,76.89,94,12,1.14
218,Zhanaozen,KZ,2022-04-13 19:31:23,43.3,52.8,54.32,53,1,13.2
219,Mahebourg,MU,2022-04-13 19:31:24,-20.4081,57.7,79.25,88,40,16.11
220,Verkhnevilyuysk,RU,2022-04-13 19:31:24,63.4453,120.3167,27.28,96,100,8.52
221,Beringovskiy,RU,2022-04-13 19:31:24,63.05,179.3167,24.57,96,100,9.66
222,Konibodom,TJ,2022-04-13 19:31:25,40.2843,70.4426,72.91,39,0,12.15
223,Santa Rosa,PH,2022-04-13 19:31:25,14.3122,121.1114,81.1,86,77,3.62
224,Florence,IT,2022-04-13 19:31:26,43.7667,11.25,63.73,53,96,4.83
225,Mawlaik,MM,2022-04-13 19:31:26,23.6333,94.4167,77.74,58,64,1.66
226,Texarkana,US,2022-04-13 19:28:29,33.4251,-94.0477,73.62,91,100,11.5
227,Fort-Shevchenko,KZ,2022-04-13 19:31:26,44.5086,50.263,49.73,77,100,11.72
228,Kruisfontein,ZA,2022-04-13 19:31:27,-34.0033,24.7314,60.89,78,100,8.05
229,Iqaluit,CA,2022-04-13 19:29:51,63.7506,-68.5145,4.73,65,20,27.63
230,Harper,LR,2022-04-13 19:31:27,4.375,-7.7169,79.86,85,100,11.21
231,Tabas,IR,2022-04-13 19:32:28,33.5959,56.9244,82.56,15,94,0.98
232,Sergiyevsk,RU,2022-04-13 19:32:28,53.9413,51.165,45.36,81,32,9.98
233,Pomorie,BG,2022-04-13 19:32:28,42.5588,27.6439,48.18,75,6,11.5
234,Puerto Penasco,MX,2022-04-13 19:32:29,31.3167,-113.5333,69.91,40,4,7.0
235,Nanortalik,GL,2022-04-13 19:32:29,60.1432,-45.2371,38.88,74,100,2.98
236,Bethel,US,2022-04-13 19:29:14,41.3712,-73.414,76.03,50,0,10.36
237,Gannan,CN,2022-04-13 19:32:29,47.9147,123.5031,34.68,45,44,8.57
238,San Quintin,MX,2022-04-13 19:31:24,30.4833,-115.95,65.05,44,63,15.5
239,Kangaatsiaq,GL,2022-04-13 19:32:30,68.3065,-53.4641,7.63,90,100,12.1
240,Ilulissat,GL,2022-04-13 19:32:30,69.2167,-51.1,21.22,79,75,8.05
241,Sumenep,ID,2022-04-13 19:32:31,-7.0167,113.8667,78.15,76,58,3.78
242,Stranda,NO,2022-04-13 19:32:31,62.3096,6.9358,39.56,84,100,3.51
243,Kodiak,US,2022-04-13 19:32:31,57.79,-152.4072,42.31,52,0,16.11
244,Fereydun Kenar,IR,2022-04-13 19:32:32,36.6864,52.5225,57.42,82,100,0.0
245,Narsaq,GL,2022-04-13 19:31:48,60.9167,-46.05,52.02,55,99,10.04
246,Eston,CA,2022-04-13 19:32:32,51.1501,-108.7514,20.03,59,100,17.29
247,Amnat Charoen,TH,2022-04-13 19:32:32,15.9167,104.75,80.62,58,61,2.64
248,Mastic Beach,US,2022-04-13 19:32:33,40.7668,-72.8521,67.17,78,0,12.66
249,Abha,SA,2022-04-13 19:32:33,18.2164,42.5053,68.25,28,0,4.61
250,Belen,TR,2022-04-13 19:32:33,36.4891,36.2233,50.14,26,0,4.61
251,Chokurdakh,RU,2022-04-13 19:32:34,70.6333,147.9167,-17.68,100,71,3.36
252,Tuy Hoa,VN,2022-04-13 19:32:34,13.0833,109.3,75.72,94,95,3.04
253,Cabo San Lucas,MX,2022-04-13 19:31:27,22.8909,-109.9124,87.1,57,20,11.5
254,Lafiagi,NG,2022-04-13 19:32:34,8.8667,5.4167,82.27,64,100,6.51
255,Padang,ID,2022-04-13 19:32:35,-0.9492,100.3543,78.13,86,100,2.91
256,Zambezi,ZM,2022-04-13 19:32:35,-13.5432,23.1047,67.51,80,14,5.19
257,Gigmoto,PH,2022-04-13 19:31:42,13.7796,124.39,76.41,87,92,4.94
258,Northam,GB,2022-04-13 19:32:35,51.0333,-4.2167,53.62,88,48,3.47
259,Lorengau,PG,2022-04-13 19:32:36,-2.0226,147.2712,81.16,78,18,7.99
260,Bonita Springs,US,2022-04-13 19:30:26,26.3398,-81.7787,89.02,61,97,1.01
261,Kalengwa,ZM,2022-04-13 19:32:36,-13.4659,25.0027,69.19,76,91,5.5
262,Broken Hill,AU,2022-04-13 19:32:36,-31.95,141.4333,51.51,50,0,8.05
263,Khani,GE,2022-04-13 19:32:37,41.9563,42.9566,31.57,95,99,2.46
264,Giyon,ET,2022-04-13 19:32:37,8.5333,37.9833,61.66,80,99,2.86
265,Villamontes,BO,2022-04-13 19:32:38,-21.25,-63.5,73.06,82,80,6.89
266,Kavieng,PG,2022-04-13 19:29:51,-2.5744,150.7967,81.59,76,70,7.43
267,Anadyr,RU,2022-04-13 19:32:38,64.75,177.4833,27.1,86,40,13.42
268,Charters Towers,AU,2022-04-13 19:32:38,-20.1,146.2667,65.82,90,6,5.32
269,Mikhaylovka,RU,2022-04-13 19:32:39,50.06,43.2379,43.79,88,100,16.71
270,Xai-Xai,MZ,2022-04-13 19:32:39,-25.0519,33.6442,77.86,71,14,7.81
271,Sivaki,RU,2022-04-13 19:32:39,52.6333,126.75,22.69,61,0,8.12
272,Maun,BW,2022-04-13 19:32:40,-19.9833,23.4167,75.16,57,0,5.75
273,Ampanihy,MG,2022-04-13 19:32:40,-24.7,44.75,74.71,61,100,5.86
274,Coutances,FR,2022-04-13 19:32:40,49.05,-1.4333,53.42,80,89,2.62
275,Kyabe,TD,2022-04-13 19:32:41,9.4515,18.9449,82.83,52,96,4.65
276,Rio Negrinho,BR,2022-04-13 19:32:41,-26.2544,-49.5183,67.95,95,99,1.54
277,Vao,NC,2022-04-13 19:33:41,-22.6667,167.4833,75.16,67,0,1.97
278,Surt,LY,2022-04-13 19:33:42,31.2089,16.5887,68.36,52,100,25.34
279,Byron Bay,AU,2022-04-13 19:29:14,-28.65,153.6167,60.94,84,51,10.13
280,Woodway,US,2022-04-13 19:33:00,31.506,-97.205,87.96,22,0,21.85
281,Zyryanka,RU,2022-04-13 19:33:42,65.75,150.85,-5.19,100,100,7.74
282,Axim,GH,2022-04-13 19:32:31,4.8699,-2.2405,79.09,83,97,5.66
283,Point Pedro,LK,2022-04-13 19:33:43,9.8167,80.2333,80.82,82,100,8.68
284,Santiago De Chuco,PE,2022-04-13 19:33:43,-8.15,-78.1833,60.94,68,86,2.39
285,Srednekolymsk,RU,2022-04-13 19:33:43,67.45,153.6833,-14.13,100,100,5.21
286,Eyl,SO,2022-04-13 19:33:44,7.9803,49.8164,82.13,76,4,10.8
287,Falun,SE,2022-04-13 19:33:44,60.6036,15.626,37.94,94,100,4.45
288,Ziro,IN,2022-04-13 19:33:44,27.6333,93.8333,53.22,98,78,0.6
289,Mitsamiouli,KM,2022-04-13 19:33:45,-11.3847,43.2844,82.33,75,99,10.0
290,Yinchuan,CN,2022-04-13 19:33:45,38.4681,106.2731,48.43,18,100,6.49
291,Misratah,LY,2022-04-13 19:33:45,32.3754,15.0925,65.82,61,100,24.96
292,Mortka,RU,2022-04-13 19:33:46,59.3322,66.0214,37.4,92,97,7.81
